:START_ID(Anatomy)	:END_ID(Gene)
UBERON:0002082	1106
UBERON:0002185	2891
UBERON:0002240	2733
UBERON:0000955	3270
UBERON:0000996	80303
UBERON:0002107	126823
UBERON:0000948	51523
UBERON:0001295	133688
UBERON:0000955	57827
UBERON:0000178	51761
UBERON:0002046	134526
UBERON:0001013	284434
UBERON:0002371	79630
UBERON:0002369	375056
UBERON:0002081	3157
UBERON:0001044	10455
UBERON:0001896	8436
UBERON:0001896	5978
UBERON:0002046	5889
UBERON:0002369	673
UBERON:0001044	7532
UBERON:0001295	2643
UBERON:0001044	2260
UBERON:0001896	4016
UBERON:0002082	9779
UBERON:0000029	402381
UBERON:0002081	64788
UBERON:0000473	3572
UBERON:0000007	10512
UBERON:0000178	4924
UBERON:0001893	54344
UBERON:0002030	9670
UBERON:0002107	120114
UBERON:0002107	8654
UBERON:0000473	4610
UBERON:0000948	220963
UBERON:0000955	1288
UBERON:0000007	867
UBERON:0002369	3625
UBERON:0001675	26088
UBERON:0001893	23471
UBERON:0002082	253982
UBERON:0001013	64376
UBERON:0002030	84064
UBERON:0000948	2893
UBERON:0002082	1107
UBERON:0001135	84525
UBERON:0002046	64098
UBERON:0000473	23508
UBERON:0001675	79977
UBERON:0000948	256309
UBERON:0001891	11117
UBERON:0001235	3306
UBERON:0002037	647286
UBERON:0002369	54961
UBERON:0000997	427
UBERON:0000996	11113
UBERON:0001296	6456
UBERON:0002371	1845
UBERON:0000948	6432
UBERON:0000948	51246
UBERON:0002240	27335
UBERON:0002369	57448
UBERON:0000178	9500
UBERON:0002185	9892
UBERON:0000992	2712
UBERON:0002185	92737
UBERON:0000178	4697
UBERON:0000948	8820
UBERON:0000002	127540
UBERON:0000955	131368
UBERON:0000002	53373
UBERON:0002369	2595
UBERON:0001896	9277
UBERON:0000996	55693
UBERON:0001891	55510
UBERON:0000955	90102
UBERON:0002048	23467
UBERON:0002048	404552
UBERON:0000178	115677
UBERON:0000997	8086
UBERON:0001044	54538
UBERON:0002107	146556
UBERON:0001296	140691
UBERON:0002369	6322
UBERON:0001295	231
UBERON:0003126	51390
UBERON:0001896	30001
UBERON:0001891	11099
UBERON:0002371	11228
UBERON:0000948	554235
UBERON:0000473	23196
UBERON:0000178	7203
UBERON:0000948	26231
UBERON:0001891	4084
UBERON:0001896	92421
UBERON:0001891	5450
UBERON:0002082	55374
UBERON:0000992	54847
UBERON:0002185	2066
UBERON:0000178	5207
UBERON:0002371	10611
UBERON:0002185	26052
UBERON:0000948	27128
UBERON:0000007	56000
UBERON:0001896	1178
UBERON:0002082	56850
UBERON:0001295	2145
UBERON:0002037	287015
UBERON:0000948	8464
UBERON:0000007	4908
UBERON:0000007	353497
UBERON:0002037	54918
UBERON:0001296	140836
UBERON:0001013	146713
UBERON:0000057	245812
UBERON:0000992	51115
UBERON:0001013	113763
UBERON:0000002	226
UBERON:0001013	93185
UBERON:0001295	55363
UBERON:0002037	51703
UBERON:0000473	8826
UBERON:0000473	169841
UBERON:0002030	25861
UBERON:0002185	11212
UBERON:0001891	84141
UBERON:0002030	3977
UBERON:0001225	256586
UBERON:0002240	253558
UBERON:0002030	25827
UBERON:0002240	4017
UBERON:0001044	29937
UBERON:0001225	10186
UBERON:0001891	5934
UBERON:0000996	7143
UBERON:0000007	256714
UBERON:0002046	124535
UBERON:0002046	220164
UBERON:0002107	145581
UBERON:0002240	9194
UBERON:0000473	822
UBERON:0000002	29999
UBERON:0000997	221937
UBERON:0000955	79652
UBERON:0002030	222229
UBERON:0002369	286
UBERON:0000997	84643
UBERON:0002240	54507
UBERON:0002369	29906
UBERON:0002240	23016
UBERON:0002371	23014
UBERON:0003126	23287
UBERON:0002082	23208
UBERON:0000178	10380
UBERON:0001013	6622
UBERON:0002048	79913
UBERON:0001044	64753
UBERON:0001891	143279
UBERON:0001044	5454
UBERON:0002081	9770
UBERON:0000007	9766
UBERON:0002081	3202
UBERON:0000002	84152
UBERON:0000178	253559
UBERON:0001893	11067
UBERON:0002107	9170
UBERON:0000178	9552
UBERON:0000996	9776
UBERON:0001235	60680
UBERON:0001891	51244
UBERON:0002107	22794
UBERON:0000178	53919
UBERON:0002367	85413
UBERON:0000002	93624
UBERON:0001675	7633
UBERON:0002240	51594
UBERON:0001135	2823
UBERON:0003126	284406
UBERON:0002369	6751
UBERON:0002082	1776
UBERON:0000473	4707
UBERON:0001896	84141
UBERON:0000955	221749
UBERON:0001296	57176
UBERON:0001044	23066
UBERON:0000178	54496
UBERON:0000473	948
UBERON:0000473	11277
UBERON:0002107	8900
UBERON:0002369	63904
UBERON:0002185	57613
UBERON:0000992	7975
UBERON:0002369	5140
UBERON:0000997	84247
UBERON:0001296	2180
UBERON:0001295	2109
UBERON:0000955	122769
UBERON:0001295	117177
UBERON:0001675	100507203
UBERON:0000948	550
UBERON:0000029	402778
UBERON:0002107	9486
UBERON:0000948	55837
UBERON:0002048	152404
UBERON:0000948	84807
UBERON:0002240	140894
UBERON:0000057	1116
UBERON:0001896	51661
UBERON:0002185	65018
UBERON:0001675	81626
UBERON:0001235	79885
UBERON:0001296	7288
UBERON:0002107	154881
UBERON:0000955	9582
UBERON:0001013	10690
UBERON:0002371	10687
UBERON:0001295	23017
UBERON:0000057	56606
UBERON:0002030	23327
UBERON:0001235	51523
UBERON:0002371	64753
UBERON:0002030	9229
UBERON:0002240	8496
UBERON:0002369	549
UBERON:0000178	51727
UBERON:0001235	10098
UBERON:0001891	432
UBERON:0001295	375449
UBERON:0001296	1428
UBERON:0002185	26090
UBERON:0001891	26509
UBERON:0002046	7566
UBERON:0002046	26762
UBERON:0001891	26577
UBERON:0002369	7174
UBERON:0000948	27329
UBERON:0000997	83890
UBERON:0002048	9659
UBERON:0000178	6015
UBERON:0002082	3628
UBERON:0001675	93058
UBERON:0001891	152831
UBERON:0002037	2638
UBERON:0001896	8971
UBERON:0001225	23414
UBERON:0000007	57572
UBERON:0002082	4693
UBERON:0000178	84987
UBERON:0000002	23303
UBERON:0000178	6003
UBERON:0002037	10591
UBERON:0002369	154215
UBERON:0002048	23168
UBERON:0000473	7572
UBERON:0002107	6331
UBERON:0002046	55512
UBERON:0001896	1528
UBERON:0003126	84247
UBERON:0002037	25796
UBERON:0002048	79707
UBERON:0002030	23192
UBERON:0000178	79728
UBERON:0002046	64386
UBERON:0002240	54586
UBERON:0002030	64221
UBERON:0002107	7272
UBERON:0001225	54855
UBERON:0001235	6275
UBERON:0000007	79856
UBERON:0000997	84722
UBERON:0000948	81788
UBERON:0001044	3667
UBERON:0002240	1184
UBERON:0002371	25925
UBERON:0002369	26353
UBERON:0000955	441282
UBERON:0002030	20
UBERON:0002185	89795
UBERON:0000473	2869
UBERON:0001295	51560
UBERON:0002240	1613
UBERON:0001893	23384
UBERON:0001225	84674
UBERON:0001295	400073
UBERON:0000997	9049
UBERON:0002371	5307
UBERON:0000178	1290
UBERON:0001235	387923
UBERON:0000178	26039
UBERON:0002371	57514
UBERON:0002107	6876
UBERON:0002030	25851
UBERON:0002081	321
UBERON:0000948	3199
UBERON:0002107	404093
UBERON:0000007	402778
UBERON:0002037	2627
UBERON:0000007	8908
UBERON:0000948	79817
UBERON:0002107	8464
UBERON:0002369	1982
UBERON:0001891	55337
UBERON:0000992	114824
UBERON:0000992	85464
UBERON:0002048	59272
UBERON:0002369	2778
UBERON:0000473	26353
UBERON:0000955	10973
UBERON:0001893	51533
UBERON:0002046	4644
UBERON:0000995	2215
UBERON:0002240	6383
UBERON:0000955	85480
UBERON:0001675	55567
UBERON:0000948	63827
UBERON:0002369	38
UBERON:0001896	6718
UBERON:0002371	83660
UBERON:0000178	10531
UBERON:0001225	8404
UBERON:0000955	4841
UBERON:0002030	9443
UBERON:0000178	5693
UBERON:0000029	90199
UBERON:0000948	1008
UBERON:0001896	11119
UBERON:0001675	9370
UBERON:0000473	389434
UBERON:0000473	873
UBERON:0001891	3216
UBERON:0000996	25888
UBERON:0000002	79877
UBERON:0000955	23421
UBERON:0000178	467
UBERON:0002185	89869
UBERON:0001675	8862
UBERON:0000178	151126
UBERON:0001295	24139
UBERON:0001891	55971
UBERON:0000948	389816
UBERON:0002369	152815
UBERON:0002371	22927
UBERON:0002082	3248
UBERON:0000948	7357
UBERON:0002369	133690
UBERON:0000007	11163
UBERON:0001044	116448
UBERON:0000948	1361
UBERON:0000029	10749
UBERON:0003126	9829
UBERON:0001044	3761
UBERON:0002369	6821
UBERON:0000178	64288
UBERON:0002037	2121
UBERON:0002082	23338
UBERON:0000007	2318
UBERON:0002240	10665
UBERON:0002082	91181
UBERON:0000997	55089
UBERON:0003126	116369
UBERON:0000473	3336
UBERON:0002037	283238
UBERON:0000997	3925
UBERON:0000002	7384
UBERON:0000029	2993
UBERON:0002371	9231
UBERON:0001013	729085
UBERON:0001013	51733
UBERON:0002046	5333
UBERON:0001225	9201
UBERON:0001295	84691
UBERON:0001296	81706
UBERON:0000955	79987
UBERON:0002037	26256
UBERON:0000996	55101
UBERON:0002371	255743
UBERON:0000029	202915
UBERON:0002107	23048
UBERON:0003126	286205
UBERON:0002371	51555
UBERON:0001675	11243
UBERON:0002185	9670
UBERON:0001225	5467
UBERON:0000955	90407
UBERON:0002367	126669
UBERON:0000955	4552
UBERON:0000948	64506
UBERON:0001893	6440
UBERON:0000473	10330
UBERON:0000955	4481
UBERON:0002107	11076
UBERON:0001896	92689
UBERON:0002048	9887
UBERON:0000995	551
UBERON:0000178	23093
UBERON:0003126	8802
UBERON:0002369	54988
UBERON:0000997	222865
UBERON:0000948	10693
UBERON:0001896	128864
UBERON:0002037	3557
UBERON:0001235	10951
UBERON:0001135	4826
UBERON:0002048	25977
UBERON:0002048	50
UBERON:0000997	9867
UBERON:0000007	991
UBERON:0001675	27239
UBERON:0001891	22823
UBERON:0000997	9315
UBERON:0001896	221481
UBERON:0000007	84940
UBERON:0002030	58528
UBERON:0001296	9143
UBERON:0001295	80723
UBERON:0002240	80139
UBERON:0000996	152404
UBERON:0000002	4604
UBERON:0001225	2058
UBERON:0002081	55287
UBERON:0002082	4057
UBERON:0001135	5320
UBERON:0002369	23012
UBERON:0002369	150864
UBERON:0001235	57185
UBERON:0000997	91461
UBERON:0002037	55780
UBERON:0002367	2584
UBERON:0002030	440574
UBERON:0000996	84514
UBERON:0003126	63893
UBERON:0000178	4016
UBERON:0000178	121642
UBERON:0000995	5349
UBERON:0001675	55808
UBERON:0000997	401067
UBERON:0002371	5335
UBERON:0002367	10776
UBERON:0002048	9139
UBERON:0000995	477
UBERON:0001225	57447
UBERON:0001893	847
UBERON:0001044	3133
UBERON:0002048	8856
UBERON:0001013	7738
UBERON:0000992	10678
UBERON:0002082	27131
UBERON:0002082	5547
