:START_ID(Anatomy)	:END_ID(Gene)
UBERON:0000178	9489
UBERON:0002369	728577
UBERON:0001013	25849
UBERON:0001896	221545
UBERON:0002030	10134
UBERON:0001235	118429
UBERON:0000992	645840
UBERON:0002046	5652
UBERON:0000992	4983
UBERON:0001893	254531
UBERON:0000002	11099
UBERON:0000029	347454
UBERON:0000992	23306
UBERON:0002185	1301
UBERON:0000007	23786
UBERON:0002030	51599
UBERON:0002081	55471
UBERON:0002369	6875
UBERON:0000992	114825
UBERON:0000955	5924
UBERON:0002367	57616
UBERON:0002046	79725
UBERON:0002240	79956
UBERON:0001891	25978
UBERON:0000178	81558
UBERON:0001675	58473
UBERON:0002046	7561
UBERON:0002081	1857
UBERON:0000997	255520
UBERON:0000995	53371
UBERON:0001296	5352
UBERON:0001135	85363
UBERON:0002107	107
UBERON:0002371	23186
UBERON:0000473	149473
UBERON:0002371	5279
UBERON:0002082	5563
UBERON:0002107	729920
UBERON:0002037	147686
UBERON:0002367	80336
UBERON:0001235	6482
UBERON:0002367	3660
UBERON:0002369	51690
UBERON:0000473	11169
UBERON:0000007	100131187
UBERON:0002048	85363
UBERON:0002367	152189
UBERON:0000057	10231
UBERON:0001893	3098
UBERON:0001295	51111
UBERON:0000955	56998
UBERON:0002082	51267
UBERON:0000997	10509
UBERON:0002185	688
UBERON:0000948	51780
UBERON:0000996	9792
UBERON:0001044	10158
UBERON:0001896	50509
UBERON:0001675	81563
UBERON:0000473	23774
UBERON:0002082	27235
UBERON:0000997	79157
UBERON:0000992	4820
UBERON:0002030	1457
UBERON:0000948	9261
UBERON:0001135	58472
UBERON:0001893	5310
UBERON:0002081	7465
UBERON:0001675	3705
UBERON:0000997	91300
UBERON:0000007	5793
UBERON:0003126	5054
UBERON:0002082	3166
UBERON:0002371	79968
UBERON:0003126	83872
UBERON:0000473	102723680
UBERON:0001044	27134
UBERON:0000995	6925
UBERON:0001896	90362
UBERON:0002369	3702
UBERON:0000992	55154
UBERON:0002081	22822
UBERON:0000473	9098
UBERON:0002371	29992
UBERON:0001013	10497
UBERON:0002240	203228
UBERON:0002081	54928
UBERON:0001044	23426
UBERON:0000007	6499
UBERON:0002240	50862
UBERON:0001893	577
UBERON:0000473	1311
UBERON:0000955	2900
UBERON:0002030	1051
UBERON:0002369	7903
UBERON:0002371	10189
UBERON:0000992	100133941
UBERON:0002107	999
UBERON:0000007	90871
UBERON:0001896	6489
UBERON:0002081	58
UBERON:0001135	56951
UBERON:0001893	23209
UBERON:0000948	84700
UBERON:0001225	23639
UBERON:0002240	259236
UBERON:0001235	80063
UBERON:0000029	340393
UBERON:0002240	25841
UBERON:0001044	415117
UBERON:0000002	3371
UBERON:0000178	55907
UBERON:0001295	9055
UBERON:0002046	54517
UBERON:0002046	27436
UBERON:0001296	4664
UBERON:0001235	2257
UBERON:0002185	7158
UBERON:0001896	28996
UBERON:0000002	57722
UBERON:0001891	84280
UBERON:0002082	4584
UBERON:0001675	51477
UBERON:0002369	91607
UBERON:0000996	51429
UBERON:0001896	54899
UBERON:0002240	56896
UBERON:0001896	11147
UBERON:0000992	2519
UBERON:0002046	55757
UBERON:0000948	6271
UBERON:0000955	90673
UBERON:0001891	89782
UBERON:0001295	6430
UBERON:0000029	196441
UBERON:0000178	55249
UBERON:0000948	9208
UBERON:0000473	51678
UBERON:0002030	27436
UBERON:0002185	11040
UBERON:0002369	50856
UBERON:0001295	51564
UBERON:0002082	6331
UBERON:0002107	8320
UBERON:0000948	10135
UBERON:0002107	112950
UBERON:0001235	7424
UBERON:0000473	862
UBERON:0001296	6827
UBERON:0002037	57731
UBERON:0003126	135228
UBERON:0002369	253769
UBERON:0001013	9019
UBERON:0002240	57542
UBERON:0002240	7456
UBERON:0000029	6367
UBERON:0000955	25930
UBERON:0000178	7627
UBERON:0002369	84842
UBERON:0000473	149954
UBERON:0000057	23173
UBERON:0002037	54971
UBERON:0000997	1474
UBERON:0000007	20
UBERON:0001044	153642
UBERON:0003126	4256
UBERON:0003126	5002
UBERON:0000955	9764
UBERON:0002369	1877
UBERON:0002369	64978
UBERON:0000057	284207
UBERON:0001044	84152
UBERON:0001225	2548
UBERON:0001296	8760
UBERON:0000996	9540
UBERON:0000948	283417
UBERON:0001013	9886
UBERON:0002371	90806
UBERON:0002046	9984
UBERON:0002048	663
UBERON:0000955	80031
UBERON:0001296	3189
UBERON:0000002	7188
UBERON:0002185	10952
UBERON:0001891	57720
UBERON:0000057	93210
UBERON:0000996	84002
UBERON:0002369	23457
UBERON:0000029	6432
UBERON:0002185	7922
UBERON:0002369	287
UBERON:0002081	9057
UBERON:0001891	6782
UBERON:0000002	5125
UBERON:0000948	25843
UBERON:0001135	10730
UBERON:0001896	4293
UBERON:0000473	392307
UBERON:0000473	10383
UBERON:0002082	260429
UBERON:0001893	9745
UBERON:0002082	10351
UBERON:0000997	57572
UBERON:0001295	54851
UBERON:0000473	8078
UBERON:0002082	9749
UBERON:0000178	55968
UBERON:0003126	11001
UBERON:0002081	171425
UBERON:0001044	3898
UBERON:0000995	5591
UBERON:0000473	7174
UBERON:0000178	921
UBERON:0002081	2935
UBERON:0000997	2178
UBERON:0002107	713
UBERON:0001896	23097
UBERON:0002367	79730
UBERON:0000992	285676
UBERON:0000029	3927
UBERON:0002240	221154
UBERON:0000178	146712
UBERON:0001225	84059
UBERON:0002030	55108
UBERON:0002369	11213
UBERON:0002185	50619
UBERON:0000992	7993
UBERON:0000178	10507
UBERON:0001225	54566
UBERON:0000178	51096
UBERON:0001296	6760
UBERON:0000473	23546
UBERON:0001295	163131
UBERON:0000178	54455
UBERON:0000057	284252
UBERON:0002048	6646
UBERON:0000955	131616
UBERON:0002048	391123
UBERON:0000996	1193
UBERON:0001235	5577
UBERON:0001675	56172
UBERON:0001135	8076
UBERON:0000992	83394
UBERON:0001891	84647
UBERON:0002371	820
UBERON:0000002	976
UBERON:0000992	90233
UBERON:0002107	4720
UBERON:0001675	6863
UBERON:0000029	2146
UBERON:0000473	4547
UBERON:0000955	9900
UBERON:0000992	57602
UBERON:0002048	6291
UBERON:0001675	1947
UBERON:0002082	9531
UBERON:0002369	284992
UBERON:0000029	399665
UBERON:0003126	79841
UBERON:0002240	23051
UBERON:0000955	375190
UBERON:0001225	5816
UBERON:0000955	402778
UBERON:0000002	8030
UBERON:0001891	3707
UBERON:0002367	9338
UBERON:0001891	6297
UBERON:0001296	27436
UBERON:0003126	2813
UBERON:0001013	2590
UBERON:0000955	80746
UBERON:0002030	55824
UBERON:0001296	9668
UBERON:0002082	9755
UBERON:0000178	81577
UBERON:0001044	80255
UBERON:0002371	5256
UBERON:0000178	26528
UBERON:0001225	26007
UBERON:0000948	3791
UBERON:0002369	64789
UBERON:0001675	26049
UBERON:0000029	4050
UBERON:0001135	26959
UBERON:0000992	54863
UBERON:0000029	841
UBERON:0001891	2776
UBERON:0002048	83872
UBERON:0002048	342510
UBERON:0002082	6710
UBERON:0001013	5054
UBERON:0000948	6484
UBERON:0000997	197259
UBERON:0001235	23157
UBERON:0002037	284339
UBERON:0001013	51253
UBERON:0000007	9338
UBERON:0001896	83699
UBERON:0002367	353322
UBERON:0001675	54587
UBERON:0000473	23594
UBERON:0002048	165
UBERON:0000955	166614
UBERON:0002107	23204
UBERON:0002367	55634
UBERON:0000948	5706
UBERON:0000178	56180
UBERON:0001135	10552
UBERON:0001044	29066
UBERON:0002367	85002
UBERON:0002048	2346
UBERON:0001296	10206
UBERON:0002240	811
UBERON:0000955	7432
UBERON:0002030	9209
UBERON:0001013	64746
UBERON:0000029	643641
UBERON:0000007	84310
UBERON:0001295	5983
UBERON:0000057	79742
UBERON:0000473	80153
UBERON:0000955	51277
UBERON:0000029	64766
UBERON:0000002	9330
UBERON:0002369	2580
UBERON:0002048	84868
UBERON:0000057	58494
UBERON:0000178	147700
UBERON:0000007	10897
UBERON:0002037	5976
UBERON:0001893	4885
UBERON:0002369	388849
UBERON:0000955	25911
UBERON:0000992	10419
UBERON:0001296	22915
UBERON:0000992	23568
UBERON:0000029	23524
UBERON:0000029	976
UBERON:0001013	84885
UBERON:0002240	51248
UBERON:0000473	60509
UBERON:0000178	112869
UBERON:0002107	5437
UBERON:0001891	64219
UBERON:0002046	8731
UBERON:0002107	151393
UBERON:0000473	4857
UBERON:0001896	203259
UBERON:0002240	54899
UBERON:0001675	10228
UBERON:0002107	728049
UBERON:0001675	22911
UBERON:0002030	142678
