:START_ID(Compound)	:END_ID(Gene)
DB00514	1136
DB00686	2246
DB00786	4317
DB01209	4988
DB01588	2560
DB00175	1577
DB00813	100861540
DB00869	765
DB00172	11212
DB01250	240
DB00313	5742
DB00217	3758
DB06262	6530
DB01115	8912
DB00213	1544
DB00203	1576
DB00150	10352
DB00909	6328
DB00847	4887
DB00451	353189
DB00575	148
DB01218	1558
DB06716	213
DB01364	6571
DB01559	2561
DB00502	1815
DB00715	1132
DB01133	5770
DB00390	480
DB01086	6332
DB00334	147
DB00975	5147
DB01332	6564
DB00786	4316
DB00381	1558
DB00536	9132
DB01065	1588
DB00594	6339
DB00194	135
DB01236	2559
DB00907	6336
DB00289	6532
DB00619	147746
DB00323	1312
DB00568	8913
DB00655	1559
DB01123	2147
DB01032	56606
DB00316	1268
DB01233	1585
DB04855	5243
DB00917	1583
DB04877	5243
DB08877	659
DB06287	2280
DB00215	1128
DB01144	768
DB00115	166785
DB01268	11329
DB00327	1559
DB01015	54600
DB00673	100861540
DB01296	7124
DB06616	11200
DB00738	1565
DB00440	5243
DB01151	3358
DB01110	10242
DB00703	1571
DB00300	1544
DB00751	5243
DB01254	695
DB00492	1636
DB00404	2562
DB01242	1576
DB00233	4353
DB08795	6564
DB00255	1548
DB01087	1543
DB00471	5742
DB00371	1557
DB00130	343641
DB00619	759
DB00915	6582
DB00334	3362
DB00583	1384
DB04842	153
DB01173	116443
DB01149	147
DB00669	9429
DB00570	10382
DB00228	1571
DB01576	147
DB00537	1551
DB00723	148
DB00471	240
DB01198	1571
DB00917	1544
DB00917	9376
DB00975	5138
DB01248	28234
DB00983	1557
DB00867	5226
DB00549	1557
DB00093	552
DB01094	1545
DB01594	200959
DB00794	1555
DB01131	1559
DB01075	1129
DB09028	1139
DB01088	5142
DB00279	6554
DB00753	1571
DB06616	7301
DB01544	1576
DB01029	1576
DB00123	6545
DB00273	765
DB01628	1559
DB00540	3350
DB00458	1544
DB00835	1132
DB01108	3284
DB04861	3350
DB08828	5004
DB00624	1588
DB00921	1558
DB01254	2048
DB00154	5742
DB00145	92292
DB00158	8714
DB06616	25
DB00405	3757
DB00997	1555
DB00651	5144
DB00738	6285
DB00583	54677
DB00567	6564
DB00536	6584
DB01248	10864
DB00530	80122
DB00608	1577
DB08804	1588
DB00278	2147
DB08834	6579
DB00332	1131
DB06616	659
DB01229	596
DB00289	1576
DB01186	148
DB01045	8647
DB01223	1544
DB00988	3350
DB00289	3356
DB00619	761
DB06148	6532
DB01238	1565
DB01327	213
DB06795	765
DB00420	1576
DB06589	9429
DB00945	5743
DB01037	1555
DB08873	1577
DB04855	3757
DB00543	1128
DB00726	5243
DB08981	5743
DB06589	1544
DB08865	7294
DB00774	768
DB00647	4986
DB00356	1544
DB04946	1815
DB00586	4363
DB00748	1558
DB00458	1133
DB06616	1436
DB05294	558
DB01076	28234
DB01151	154
DB04868	23632
DB00882	1588
DB01136	7498
DB01085	1128
DB01065	805
DB00160	57505
DB01621	1812
DB00908	1544
DB00270	779
DB00908	1129
DB01236	338567
DB00196	5243
DB00451	6579
DB08865	285220
DB00604	1548
DB00753	2561
DB00801	2569
DB01280	1716
DB00620	5743
DB00679	3358
DB01100	1571
DB00909	377677
DB00398	5894
DB00935	151
DB04855	1565
DB01110	3778
DB00145	140679
DB00619	55244
DB00523	6258
DB01567	2564
DB00214	1557
DB00497	1565
DB00182	6531
DB00304	2099
DB00189	2566
DB00502	1543
DB00149	587
DB00883	1571
DB00977	1555
DB00585	590
DB01251	3767
DB01028	2741
DB00276	7153
DB00145	2905
DB00259	766
DB00973	6646
DB00842	2562
DB00604	1576
DB08889	5693
DB05294	8767
DB00624	64816
DB06414	1559
DB00367	367
DB00784	1645
DB00334	3005
DB06708	1565
DB00650	10257
DB01058	1577
DB00398	147746
DB01100	3350
DB00839	3767
DB00248	1576
DB00927	1557
DB00829	1577
DB00281	1555
DB00935	147
DB01244	1565
DB06712	55799
DB06637	3790
DB06707	151
DB01440	6566
DB00673	1576
DB00381	775
DB00170	1548
DB00949	116443
DB00468	1551
DB01199	43
DB01021	766
DB01589	2562
DB00861	5743
DB01022	632
DB00796	1559
DB00213	9429
DB00607	9356
DB01075	1544
DB00909	316
DB00514	10280
DB00139	5019
DB00675	1558
DB00665	1558
DB00468	1577
DB01118	1548
DB00169	1583
DB06207	146
DB00523	5243
DB01030	5243
DB00151	4255
DB00884	5743
DB05812	6822
DB06795	771
DB00608	2939
DB01053	6584
DB00624	1557
DB00328	145482
DB01173	1576
DB08802	3269
DB01059	9356
DB00688	7364
DB00661	775
DB00899	4986
DB00661	8912
DB01014	5468
DB01008	4258
DB00668	5053
DB01075	1565
DB01420	1312
DB00675	1244
DB00645	6336
DB00468	1558
DB00353	3356
DB00332	1576
DB01254	9088
DB00818	1576
DB00709	4363
DB00887	6579
DB00422	6530
DB00333	3359
DB00882	3757
DB00130	5471
DB01238	1812
DB00490	3350
DB00949	1576
DB00328	5743
DB01254	7294
DB04894	6752
DB00511	476
DB06770	217
DB00841	154
DB00517	1129
DB01118	7068
DB06770	1576
DB00144	8527
DB00567	9356
DB08911	5604
DB00477	1816
DB00726	6530
DB08868	66002
DB00880	762
DB06716	2556
DB08877	5581
DB00371	2558
DB06144	3362
DB00321	3736
DB00443	1576
DB00133	875
DB00741	1584
DB00567	9376
DB00328	5243
DB01086	11280
DB01098	1577
DB00119	9123
DB00690	2563
DB00224	4363
DB00674	1576
DB00697	1544
DB00842	200959
DB00860	1548
DB00589	1814
DB00786	102
DB01559	2569
DB00808	771
DB00543	3357
DB08916	1956
DB06689	1571
DB00286	123264
DB01160	27306
DB00554	1558
DB01320	1557
DB00444	368
DB00998	3350
DB00167	3376
DB00455	3757
DB01142	3362
DB00694	9429
DB01036	1132
DB00783	1576
DB01158	476
DB00908	6326
DB00731	5468
DB00171	27
DB01058	1576
DB00456	9376
DB00860	866
DB00794	89832
DB01333	6564
DB00170	5627
DB00962	1576
DB06616	6789
DB01016	10060
DB00246	3757
DB01411	10800
DB00742	5243
DB00715	5243
DB00257	100861540
DB00583	123096
DB01166	1551
DB00155	11240
DB06702	1132
DB01412	134
DB00502	3005
DB08810	3356
DB00241	1139
DB00907	1558
DB00118	4144
DB00237	1137
DB01050	5743
DB00131	107
DB00967	1559
DB00614	4128
DB00917	27306
DB00668	6582
DB00734	3357
DB01594	2563
DB00917	5734
DB00172	65263
DB00671	6564
DB00530	8711
DB00706	3350
DB00758	64805
DB01207	6916
DB00316	1543
DB01017	240
DB00759	1576
DB00625	1559
DB01577	134864
DB01590	2475
DB00163	1728
DB00641	1565
DB01224	1576
DB01624	1816
DB00294	5241
DB00625	1576
DB00474	2562
DB00858	6462
DB06210	10599
DB00624	1555
DB00653	781
DB00247	3357
DB00865	6531
DB00209	1129
DB01074	1374
DB00334	1816
DB00696	150
DB00398	51265
DB00133	9517
DB01223	1571
DB00122	5130
DB00863	5243
DB01361	5243
DB06218	6328
DB00391	760
DB00273	766
DB01254	1544
DB00503	1565
DB00936	55867
DB05294	2534
DB00527	590
DB01132	1565
DB06589	2260
DB00347	1571
DB06605	1558
DB01026	1594
DB06712	783
DB00690	2568
DB00233	1147
DB00437	10864
DB00543	2554
DB04920	590
DB00331	4538
DB01268	1613
DB00753	1555
DB00883	2982
DB01076	3156
DB00158	1571
DB00484	152
DB00207	1576
DB05294	6793
DB00528	786
DB00604	3357
DB00717	6462
DB00331	5564
DB00800	1816
DB00783	28231
DB01628	1432
DB00370	3269
DB00850	805
DB00553	1544
DB00165	8566
DB00753	2743
DB00814	1576
DB00575	146
DB00738	1543
DB08893	6579
DB00726	150
DB00912	3767
DB00599	2898
DB00622	781
DB01355	1571
DB01614	1813
DB01036	1128
DB04552	5742
DB00774	766
DB01352	2891
DB06800	4988
DB00856	7498
DB00678	10599
DB08865	9201
DB00220	6580
DB00668	147
DB01021	771
DB00149	51451
DB01410	866
DB00778	1555
DB00972	1543
DB00128	1615
DB08901	5979
DB00163	2947
DB00939	5743
DB01199	1140
DB00788	5743
DB00758	1558
DB00576	213
DB00731	1565
DB01438	6329
DB01215	2561
DB01100	805
DB01151	5243
DB00892	590
DB00689	6584
DB00571	155
DB03147	4128
DB00555	6329
DB00619	5243
DB00679	1557
DB00252	1558
DB00949	2904
DB00887	6557
DB01231	1128
DB08877	3716
DB00237	2561
DB00546	2560
DB00738	26
DB00869	763
DB01116	1143
DB01186	1814
DB06292	5243
DB01045	6579
DB00752	1576
DB01033	3251
DB00502	1812
DB01115	801
DB01268	147746
DB00300	654364
DB01085	1571
DB01340	6565
DB00091	1577
DB04948	150
DB00829	2565
DB00358	1576
DB01241	1558
DB00121	8884
DB00589	3350
DB00274	213
DB01100	1813
DB01073	6240
DB00434	3358
DB05294	3932
DB01559	2554
DB01268	57396
DB01618	1813
DB06151	10599
DB08881	213
DB00254	4312
DB01558	2565
DB01075	1562
DB06209	1555
DB04842	4987
DB00117	10991
DB01159	1555
DB06268	1559
DB00801	2567
DB01136	1543
DB00530	54658
DB00706	146
DB00134	4524
DB00398	4593
DB06637	3752
DB00987	1576
DB01002	6336
DB00398	51776
DB00191	1559
DB05294	5979
DB01054	5243
DB00762	8824
DB04841	1555
DB00536	90134
DB00777	3358
DB00918	4128
DB00337	2475
DB01004	10864
DB00184	1558
DB06589	5243
DB05521	1513
DB00297	1557
DB00688	5243
DB00749	6256
DB06616	2065
DB00696	6530
DB01611	54106
DB00343	1557
DB00129	10166
DB01236	213
DB00793	2582
DB04786	6261
DB00675	1557
DB01138	4363
DB00794	1544
DB00129	6542
DB01174	1580
DB00909	6326
DB00783	1559
DB06201	1571
DB00544	1806
DB00958	6647
DB00909	23632
DB01110	1576
DB00307	6258
DB08896	7010
DB00171	94
DB01035	11280
DB00344	1565
DB01248	347733
DB01256	1576
DB08865	1436
DB00398	2321
DB01244	3784
DB00652	4988
DB01026	1548
DB01394	5244
DB00734	1814
DB01197	2147
DB06616	5607
DB06616	2043
DB00158	10257
DB01238	3350
DB08916	2064
DB00648	6462
DB00953	3350
DB00462	1128
DB00986	1133
DB00273	2566
DB01567	2556
DB00882	10280
DB00536	3742
DB00694	89845
DB01567	2563
DB00852	3558
DB00690	1576
DB00849	2556
DB00486	1268
DB00451	7067
DB01280	5422
DB00248	146
DB00584	9376
DB06144	3355
DB00214	5742
DB00050	2798
DB00508	5243
DB00162	51109
DB00717	1557
DB01587	5243
DB00969	1576
DB00264	153
DB06274	4985
DB00762	7150
DB00788	1559
DB00762	1244
DB00458	1132
DB00458	6531
DB00412	1544
DB01623	3269
DB00586	9356
DB08901	7010
DB00275	185
DB06694	147
DB08877	9201
DB00468	3783
DB00738	1558
DB06262	117247
DB00369	9356
DB00568	1813
DB01399	5742
DB00834	1565
DB01626	4129
DB00363	54657
DB01078	480
DB00700	1576
DB06151	2906
DB00755	5914
DB00495	10864
DB00160	2875
DB00331	126328
DB00227	1551
DB00780	100861540
DB00741	9429
DB08860	10599
DB00484	151
DB01095	1565
DB06216	1815
DB00396	6581
DB01254	140901
DB00259	1571
DB01000	6564
DB00186	7366
DB06616	640
DB01226	1129
DB01382	6833
DB00194	132
DB00619	1576
DB00536	3739
DB00741	1558
DB01016	5243
DB00877	2475
DB01352	89832
DB00753	51305
DB08865	1969
DB05294	80122
DB00509	7067
DB00333	4985
DB01452	4986
DB01589	2569
DB00988	1565
DB00397	150
DB01175	3269
DB00279	353189
DB01463	6531
DB08881	5894
DB00643	1543
DB00339	7498
DB06772	347688
DB00724	51311
DB01210	154
DB00801	2568
DB00162	1592
DB00570	1244
DB00173	32
DB00431	2742
DB00599	2559
DB00169	7421
DB00575	1576
DB01201	64816
DB00563	4363
DB06637	3788
DB06713	412
DB00370	150
DB00589	151
DB00546	1576
DB01435	5743
DB00909	770
DB01229	28234
DB00404	1551
DB00563	316
DB04574	6580
DB00762	1551
DB01268	51135
DB00857	1583
DB01232	10599
DB00515	4353
DB06589	3985
DB00897	2564
DB00312	2556
DB00796	1558
DB00268	1565
DB00918	1544
DB06216	148
DB01151	1557
DB03147	1728
DB00454	5004
DB00131	6714
DB00435	1555
DB00547	2908
DB00129	6541
DB00345	55867
DB01349	1576
DB01189	2556
DB01224	1557
DB00312	2891
DB00540	1557
DB00171	238
DB01131	1557
DB01159	3777
DB01204	9429
DB01016	6833
DB00753	2565
DB00289	3362
DB00334	1133
DB00679	1812
DB01053	9376
DB00820	50940
DB01056	1544
DB00699	148
DB00704	4988
DB00783	213
DB08865	7301
DB08897	1128
DB00774	771
DB00582	1576
DB00661	6583
DB01354	2559
DB00134	635
DB00732	1140
DB00747	1128
DB08860	3156
DB00973	8714
DB01142	3357
DB02638	553
DB00499	367
DB01132	1576
DB00958	1317
DB00334	3351
DB00636	1571
DB01138	10257
DB01238	3356
DB01425	1813
DB01173	1571
DB00169	2638
DB01067	6833
DB01026	1576
DB01567	2554
DB00321	3352
DB00255	2104
DB00117	117247
DB00127	763
DB00420	1813
DB00627	11309
DB00694	7532
DB00832	8912
DB01086	1066
DB00091	8714
DB00131	5565
DB00624	1576
DB06616	25989
DB01244	476
DB06684	1562
DB00184	1138
DB01106	3269
DB00783	55867
DB00777	147
DB06725	5742
DB08877	51347
DB01354	2557
DB00368	6530
DB00777	3269
DB01212	9356
DB00363	1571
DB01608	150
DB00977	8647
DB08877	1576
DB01351	2898
DB00129	383
DB00909	8911
DB01236	2557
DB00482	5743
DB00338	8714
DB01403	1815
DB00683	2555
DB00619	23632
DB00904	1571
DB01268	1457
DB04920	1576
DB00295	1576
DB00356	1571
DB01244	5243
DB01338	1144
DB00322	7298
DB00554	213
DB00228	513
DB00541	7277
DB00688	54578
DB00988	1559
DB00842	7366
DB08807	3350
DB00897	2566
DB00774	6559
DB06589	8576
DB00943	9356
DB00091	2281
DB00514	1557
DB04794	1557
DB01588	2562
DB01092	1543
DB00328	7364
DB00231	1557
DB01253	3354
DB00753	27032
DB01110	5243
DB00675	1543
DB01224	1813
DB05294	2046
DB00536	6582
DB00744	1544
DB01236	2741
DB08901	4067
DB01403	1814
DB01394	203068
DB00141	51172
DB00358	135
DB00543	3269
DB08807	3351
DB01579	6530
DB00152	10560
DB00477	1544
DB00122	1119
DB00128	440
DB00561	3777
DB00786	8510
DB06204	3359
DB00814	1559
DB01321	1576
DB00420	1815
DB00628	2554
DB01095	1559
DB00281	1548
DB01211	1557
DB06616	9448
DB00974	5446
DB00810	5243
DB00139	9058
DB01411	3567
DB00706	1576
DB00864	23461
DB00601	4128
DB01223	136
DB01267	1815
DB01248	8856
DB00814	5742
DB00821	5743
DB00175	28234
DB00359	1571
DB00411	1135
DB01126	6715
DB01234	2908
DB00520	28234
DB00604	3757
DB00119	6567
DB00755	1382
DB06288	1814
DB01234	64816
DB00132	6546
DB00408	1813
DB00536	3741
DB00151	2730
DB00370	3357
DB00171	91
DB00345	6584
DB00216	3357
DB00313	1548
DB00656	100861540
DB00509	7068
DB01234	8647
DB00145	2731
DB00661	785
DB00421	6579
DB00970	4363
DB00918	1571
DB04930	6323
DB00300	205
DB01396	353189
DB00873	2908
DB00481	316
DB00669	3355
DB08901	2260
DB01174	1543
DB00438	6565
DB00540	1571
DB01092	353189
DB01296	1557
DB00390	28234
DB00491	8972
DB00155	4842
DB00720	291
DB06616	1760
DB00477	59340
DB00119	9120
DB05109	1565
DB00996	781
DB00679	1544
DB01064	1543
DB00898	1543
DB00935	148
DB01037	1565
DB00363	147
DB00160	16
DB00116	10797
DB00910	7421
DB00396	1543
DB01544	706
DB01104	4129
DB00471	1559
DB01551	4988
DB00568	8912
DB00128	91703
DB00795	1147
DB00145	51268
DB01065	4543
DB01148	5141
DB05521	1215
DB00253	2908
DB00588	1551
DB00334	1812
DB01201	1577
DB08868	8529
DB00562	771
DB01221	116443
DB01098	4363
DB00590	5243
DB06766	3269
DB00691	6565
DB01012	846
DB06616	3654
DB00145	2617
DB00176	10280
DB00238	1559
DB00392	116443
DB00338	1545
DB02187	3292
DB01601	1576
DB01082	9356
DB00182	4129
DB00536	3750
DB00683	2567
DB00806	1544
DB00783	28234
DB01403	152
DB01236	2561
DB08865	80122
DB01326	9356
DB00234	6530
DB01047	6608
DB08916	285220
DB00182	6532
DB00691	59272
DB00770	5739
DB00523	1544
DB00973	54659
DB00213	495
DB01234	5319
DB00970	368
DB00897	2562
DB00709	9429
DB00909	759
DB00254	4322
DB00712	213
DB00571	1544
DB01142	151
DB00419	57704
DB08954	2904
DB00334	151
DB05294	27
DB00496	1129
DB00518	5243
DB00898	1544
DB00836	1576
DB01413	6584
DB00281	1544
DB00908	6584
DB00619	5004
DB00544	1559
DB00371	2566
DB08865	81788
DB01110	1584
DB00155	4846
DB00162	50700
DB00158	8836
DB01075	1557
DB00331	91942
DB00866	3350
DB01392	6532
DB00829	2569
DB01110	1595
DB00203	1559
DB00493	55867
DB00871	590
DB00472	1559
DB00371	2554
DB00573	5742
DB00619	4914
DB00602	5243
DB00402	5742
DB00418	2566
DB00149	51520
DB00928	1786
DB01050	54658
DB01227	1551
DB00590	146
DB00448	1562
DB00909	768
DB00321	3358
DB00523	1382
DB00570	6582
DB00422	6532
DB00235	5139
DB00537	1576
DB08807	155
DB00917	9356
DB01204	146802
DB01254	2046
DB00938	1551
DB05246	8912
DB00502	3269
DB00116	10840
DB01274	153
DB01100	8913
DB00456	9356
DB00200	81693
DB00835	1576
DB00143	4258
DB00543	5004
DB00366	3269
DB01224	1551
DB00279	10599
DB01594	2561
DB00215	1557
DB01097	1723
DB02638	552
DB00370	6530
DB04938	1557
DB00132	7442
DB00831	10280
DB00724	51284
DB00608	1543
DB00908	1551
DB00951	1558
DB00263	1559
DB01403	1812
DB01415	6565
DB00543	3351
DB00897	2557
DB00379	6329
DB01254	1577
DB01347	185
DB08860	6554
DB01238	1129
DB00232	762
DB01613	4882
DB08865	7297
DB01403	1131
DB01577	6532
DB00604	1565
DB00184	1141
DB01165	4363
DB00122	126969
DB00515	1244
DB00762	6581
DB08897	590
DB00128	2806
DB00920	5226
DB01041	51185
DB01028	2564
DB00503	4363
DB00201	1543
DB06710	6462
DB00468	1559
DB01424	1558
DB01149	100861540
DB01059	7153
DB00903	476
DB01288	154
DB00277	1565
DB00644	2798
DB00125	117247
DB00246	148
DB03147	27034
DB00279	7276
DB00887	5743
DB04855	213
DB00216	1559
DB00936	9376
DB00795	3551
DB01559	2556
DB00731	1577
