:START_ID(Compound)	:END_ID(Gene)
DB00970	64121
DB01034	10362
DB00864	11065
DB01623	5982
DB01177	6839
DB00441	23204
DB01030	10556
DB00374	2171
DB00641	10436
DB00762	79109
DB00877	10523
DB00643	10092
DB08881	51116
DB00481	9787
DB06287	9410
DB09020	9641
DB01586	4817
DB00367	11200
DB00928	7167
DB00374	23378
DB00444	4216
DB02546	9805
DB08911	8243
DB00694	8480
DB00943	9518
DB00877	5236
DB00441	5901
DB01179	3417
DB00449	26520
DB01273	1808
DB00643	50810
DB01165	9897
DB00783	54800
DB04573	10318
DB00996	10318
DB08881	3589
DB00443	158471
DB00530	10038
DB00970	7268
DB00261	10969
DB01248	79850
DB00631	11113
DB01092	5710
DB00688	1105
DB00188	11157
DB00928	56731
DB00715	10460
DB01092	1070
DB00411	4830
DB01024	1994
DB00530	824
DB08866	6165
DB00188	29082
DB00570	26011
DB00367	991
DB00367	23421
DB00132	23512
DB01015	2131
DB00180	55723
DB08866	2171
DB01051	3485
DB01179	9868
DB00588	7296
DB00773	54821
DB00162	7837
DB00244	51056
DB01014	1666
DB06803	4144
DB00374	10244
DB04865	5034
DB00763	9518
DB01186	6253
DB00923	5347
DB04865	8720
DB01165	211
DB00643	2542
DB06616	1848
DB00649	23597
DB01030	9690
DB00481	9133
DB00563	1058
DB00374	1635
DB01011	9093
DB00188	23788
DB00091	9928
DB00390	3315
DB00762	220134
DB01024	1213
DB00332	3856
DB01074	4709
DB00679	22974
DB00540	55699
DB00445	22887
DB01262	55748
DB00398	50814
DB00553	23029
DB08911	5800
DB00773	3930
DB00481	24137
DB01103	1207
DB01024	54663
DB01074	6634
DB01177	874
DB01254	10038
DB00444	9793
DB00268	6813
DB08881	6382
DB08881	7277
DB00441	10276
DB00392	23029
DB00390	23598
DB00296	1534
DB01396	84617
DB00426	10797
DB00631	9493
DB00861	7298
DB01623	51081
DB00317	8624
DB08912	23397
DB00227	51096
DB00443	6192
DB01034	29127
DB01177	10153
DB01053	9270
DB00783	501
DB01103	7371
DB00404	79073
DB00878	4172
DB00570	1763
DB00187	5255
DB00643	55500
DB00591	3385
DB01366	4864
DB06589	2185
DB00300	1666
DB08865	27101
DB00947	2175
DB01104	23210
DB01273	7846
DB00787	4282
DB00643	55709
DB00456	51079
DB00758	51021
DB00928	1468
DB00396	8318
DB04865	10099
DB00170	5501
DB01030	3930
DB01030	4088
DB01254	51330
DB01268	9552
DB01156	1738
DB00176	9709
DB00968	8520
DB01016	10818
DB04896	2697
DB06710	79850
DB06711	51170
DB01074	29929
DB00947	6119
DB00427	5909
DB00170	3161
DB00970	9847
DB01590	28977
DB06803	54948
DB04865	9837
DB00928	10962
DB01034	10273
DB00903	51053
DB00745	10687
DB01229	11200
DB00679	10523
DB00481	3832
DB00810	23326
DB00445	1434
DB01092	29088
DB00846	3303
DB01030	22794
DB08860	5111
DB01177	1051
DB00694	7705
DB00242	11065
DB01197	4864
DB00415	64943
DB01394	10282
DB01396	64981
DB00390	5836
DB00367	5591
DB00305	4643
DB06710	5982
DB00091	7112
DB08860	642
DB01243	994
DB00384	5529
DB08604	9837
DB00631	23397
DB00602	5427
DB00390	29087
DB00877	23210
DB01103	23463
DB01119	51026
DB06287	9690
DB00643	6284
DB01406	3930
DB00694	57050
DB01406	79828
DB00390	2530
DB00541	716
DB01030	94134
DB00602	5982
DB00773	11004
DB00441	3181
DB01016	1500
DB00591	874
DB01034	10051
DB01179	8091
DB00754	6050
DB01034	11098
DB00408	79080
DB08901	6675
DB01216	64429
DB01211	8050
DB00309	7167
DB00822	27095
DB08916	8796
DB08901	5438
DB06803	1429
DB01211	10237
DB01179	5111
DB01098	1950
DB01179	11168
DB00411	56654
DB01590	79080
DB01261	9842
DB01366	7013
DB00568	10318
DB01115	29082
DB01396	57819
DB00643	2582
DB00190	5018
DB00188	51596
DB00481	7372
DB01204	5706
DB01273	8364
DB01053	39
DB00390	79991
DB01014	1978
DB00846	8318
DB01590	27346
DB00602	55723
DB00523	22827
DB01396	339229
DB00602	9531
DB00585	7088
DB00822	23212
DB00397	2109
DB09020	55347
DB00374	27042
DB00570	51337
DB00563	24137
DB00296	51293
DB01177	348995
DB00305	9031
DB06589	5321
DB00170	5110
DB08911	64750
DB00836	5438
DB00444	8204
DB01074	8884
DB00091	64785
DB00570	1017
DB01067	4282
DB01014	5111
DB00679	6390
DB00570	26355
DB00481	4691
DB06803	10383
DB00136	79080
DB00947	259266
DB01015	6192
DB00983	6192
DB00882	29083
DB00444	813
DB00188	10362
DB00822	22908
DB00671	1351
DB01103	11230
DB00445	10915
DB00374	4860
DB01179	10058
DB00390	10775
DB00334	3682
DB08901	10589
DB01166	1983
DB00603	1738
DB00322	2146
DB01092	79714
DB00527	4792
DB06777	55893
DB01614	3490
DB01234	10221
DB00643	2852
DB01406	3960
DB02546	1503
DB00877	10213
DB08877	80746
DB01179	23647
DB02546	55256
DB00188	2542
DB08881	891
DB08865	55119
DB00390	10535
DB01030	23244
DB01396	644
DB00970	81873
DB01234	79595
DB01396	23598
DB00773	3181
DB00091	7083
DB00132	23029
DB00877	8050
DB00361	8050
DB00997	4792
DB02546	11340
DB00443	8613
DB01273	581
DB01024	2264
