:START_ID(Compound)	:END_ID(Disease)
DB01175	DOID:3312
DB00321	DOID:7148
DB00176	DOID:594
DB01037	DOID:10652
DB00945	DOID:9074
DB01100	DOID:11119
DB00328	DOID:7147
DB00218	DOID:3083
DB00989	DOID:14330
DB00203	DOID:418
DB00500	DOID:8398
DB01224	DOID:12849
DB01104	DOID:5419
DB00996	DOID:9074
DB01175	DOID:1595
DB00104	DOID:4989
DB00741	DOID:263
DB01267	DOID:5419
DB01068	DOID:14330
DB01200	DOID:14330
DB00692	DOID:10763
DB00402	DOID:2377
DB00810	DOID:14330
DB01063	DOID:5419
DB01255	DOID:1094
DB00215	DOID:1595
DB00230	DOID:9074
DB00500	DOID:7148
DB00980	DOID:14330
DB00281	DOID:3393
DB00404	DOID:594
DB00402	DOID:5419
DB01001	DOID:4481
DB00985	DOID:5419
DB01224	DOID:3312
DB00829	DOID:594
DB00540	DOID:1094
DB01149	DOID:1595
DB00554	DOID:8398
DB00860	DOID:0050156
DB00169	DOID:784
DB01037	DOID:1595
DB01156	DOID:1094
DB00334	DOID:11119
DB00443	DOID:1319
DB00482	DOID:8398
DB00537	DOID:3083
DB00742	DOID:1686
DB01166	DOID:418
DB00813	DOID:10283
DB00477	DOID:12995
DB00715	DOID:594
DB00214	DOID:784
DB00458	DOID:1094
DB00924	DOID:8398
DB00915	DOID:14330
DB01356	DOID:5419
DB00246	DOID:3312
DB01115	DOID:418
DB01009	DOID:8398
DB00554	DOID:7148
DB00673	DOID:219
DB00245	DOID:10652
DB00572	DOID:8778
DB00443	DOID:1612
DB00977	DOID:1612
DB00514	DOID:2377
DB00736	DOID:5041
DB00289	DOID:12849
DB00273	DOID:3312
DB00727	DOID:3393
DB00776	DOID:3312
DB00945	DOID:7148
DB01156	DOID:594
DB00472	DOID:594
DB00334	DOID:594
DB00788	DOID:6364
DB00482	DOID:9074
DB00241	DOID:6364
DB00903	DOID:784
DB01165	DOID:3083
DB00736	DOID:10283
DB00315	DOID:6364
DB00281	DOID:8398
DB00316	DOID:6364
DB00734	DOID:12995
DB00555	DOID:3312
DB00363	DOID:5419
DB00977	DOID:11612
DB00433	DOID:1612
DB01043	DOID:14330
DB00477	DOID:3312
DB00635	DOID:8398
DB01219	DOID:2377
DB00461	DOID:7148
DB01397	DOID:8893
DB00353	DOID:6364
DB00443	DOID:219
DB00736	DOID:263
DB00289	DOID:1094
DB00656	DOID:5419
DB00313	DOID:1595
DB01012	DOID:784
DB00673	DOID:1612
DB01137	DOID:3083
DB00712	DOID:8398
DB00814	DOID:418
DB00476	DOID:3312
DB00367	DOID:11612
DB00586	DOID:7148
DB00422	DOID:1094
DB00245	DOID:14330
DB01085	DOID:11934
DB00776	DOID:2377
DB00193	DOID:0050425
DB00351	DOID:1612
DB00482	DOID:219
DB01018	DOID:1094
DB06684	DOID:1595
DB00715	DOID:3312
DB00707	DOID:5041
DB00408	DOID:5419
DB00268	DOID:0050425
DB00190	DOID:0050425
DB01020	DOID:3393
DB00829	DOID:2377
DB01186	DOID:14330
DB00813	DOID:1324
DB00575	DOID:1094
DB00268	DOID:10652
DB00952	DOID:6364
DB00313	DOID:5419
DB01198	DOID:5419
DB00254	DOID:3083
DB00635	DOID:6364
DB01401	DOID:8893
DB01233	DOID:10283
DB00458	DOID:594
DB00540	DOID:1595
DB00286	DOID:1612
DB00734	DOID:5419
DB00475	DOID:0050741
DB00996	DOID:3312
DB01399	DOID:7148
DB00904	DOID:0050741
DB00797	DOID:418
DB00363	DOID:3312
DB00316	DOID:8398
DB00321	DOID:1595
DB00458	DOID:1595
DB00295	DOID:3393
DB00586	DOID:418
DB01142	DOID:3310
DB01296	DOID:8398
DB00575	DOID:11119
DB00461	DOID:8398
DB00472	DOID:5419
DB00281	DOID:7148
DB00338	DOID:5041
DB01398	DOID:8893
DB01576	DOID:8986
DB00814	DOID:9074
DB00991	DOID:7148
DB00201	DOID:6364
DB00190	DOID:14330
DB01075	DOID:14330
DB00910	DOID:784
DB00321	DOID:9074
DB01364	DOID:4481
DB00679	DOID:5419
DB01068	DOID:5419
DB00624	DOID:1612
DB00182	DOID:8986
DB01427	DOID:12930
DB00281	DOID:418
DB00575	DOID:0050425
DB00427	DOID:3310
DB01240	DOID:418
DB00734	DOID:3312
DB00656	DOID:1595
DB00945	DOID:13189
DB01367	DOID:14330
DB00861	DOID:8398
DB01440	DOID:8986
DB00540	DOID:594
DB00320	DOID:6364
DB00936	DOID:8893
DB00404	DOID:418
DB00934	DOID:594
DB00184	DOID:0050742
DB00104	DOID:9744
DB06710	DOID:1612
DB01238	DOID:3312
DB00996	DOID:2377
DB00514	DOID:332
DB00741	DOID:10283
DB00788	DOID:8398
DB01395	DOID:11612
DB00248	DOID:14330
DB00387	DOID:14330
DB00924	DOID:6364
DB00482	DOID:2531
DB00959	DOID:1319
DB01037	DOID:14330
DB00814	DOID:7147
DB00745	DOID:8986
DB00861	DOID:7148
DB01435	DOID:6364
