:START_ID(Compound)	:END_ID(Disease)
DB00997	DOID:363
DB00206	DOID:10763
DB00960	DOID:10763
DB00665	DOID:10283
DB00290	DOID:2998
DB01232	DOID:635
DB00555	DOID:1826
DB00444	DOID:2531
DB00860	DOID:4481
DB00635	DOID:2531
DB00985	DOID:4481
DB00808	DOID:10763
DB01244	DOID:10763
DB00888	DOID:2531
DB00591	DOID:3310
DB00530	DOID:1324
DB00191	DOID:9970
DB00620	DOID:8577
DB00853	DOID:3070
DB00654	DOID:1686
DB00783	DOID:10283
DB08881	DOID:4159
DB00563	DOID:9074
DB00741	DOID:4481
DB00773	DOID:1192
DB00993	DOID:418
DB01275	DOID:10763
DB01101	DOID:10534
DB00401	DOID:10763
DB00563	DOID:1324
DB00222	DOID:9352
DB00290	DOID:1909
DB01280	DOID:2531
DB00455	DOID:3310
DB00860	DOID:3083
DB00244	DOID:8577
DB00250	DOID:12365
DB01023	DOID:10763
DB01047	DOID:3310
DB00635	DOID:2841
DB00541	DOID:2531
DB00443	DOID:2531
DB01234	DOID:9008
DB00688	DOID:418
DB00491	DOID:9352
DB00570	DOID:2998
DB00441	DOID:1793
DB00661	DOID:6364
DB00205	DOID:12365
DB00959	DOID:7147
DB00544	DOID:10534
DB01068	DOID:1826
DB01101	DOID:263
DB00488	DOID:2394
DB00970	DOID:263
DB00177	DOID:3393
DB00997	DOID:184
DB00215	DOID:0050741
DB01394	DOID:13189
DB01320	DOID:1826
DB01181	DOID:2531
DB01057	DOID:1686
DB00338	DOID:9206
DB00993	DOID:8577
DB00501	DOID:9970
DB00563	DOID:2377
DB00860	DOID:2531
DB00795	DOID:8577
DB01075	DOID:4481
DB00261	DOID:2531
DB00091	DOID:9074
DB00763	DOID:12361
DB01098	DOID:3393
DB01197	DOID:418
DB00970	DOID:4045
DB00399	DOID:11476
DB01029	DOID:10763
DB00631	DOID:2531
DB00521	DOID:1686
DB01170	DOID:10763
DB00291	DOID:1612
DB00642	DOID:1324
DB00641	DOID:3393
DB00178	DOID:9744
DB00169	DOID:11476
DB01204	DOID:1612
DB01045	DOID:1024
DB01101	DOID:1612
DB00544	DOID:219
DB00635	DOID:10283
DB00563	DOID:1612
DB01204	DOID:2377
DB01202	DOID:1826
DB08877	DOID:2531
DB01120	DOID:9352
DB00523	DOID:1192
DB00851	DOID:1909
DB00270	DOID:10763
DB00226	DOID:10763
DB08828	DOID:4159
DB00982	DOID:1192
DB00937	DOID:9970
DB01177	DOID:1612
DB00492	DOID:10763
DB00635	DOID:3310
DB00688	DOID:8893
DB00651	DOID:2841
DB00305	DOID:11054
DB00762	DOID:1793
DB00515	DOID:2994
DB01177	DOID:2531
DB00973	DOID:1936
DB01410	DOID:2841
DB00224	DOID:635
DB00864	DOID:3310
DB00860	DOID:2841
DB00775	DOID:3393
DB00352	DOID:2531
DB08881	DOID:1909
DB00445	DOID:10534
DB00563	DOID:10534
DB00762	DOID:1324
DB00570	DOID:2531
DB08868	DOID:2377
DB00997	DOID:1324
DB00876	DOID:10763
DB00445	DOID:1793
DB01583	DOID:1459
DB00441	DOID:2531
DB00250	DOID:9074
DB01204	DOID:1115
DB08816	DOID:3393
DB00398	DOID:1781
DB00741	DOID:7148
DB00764	DOID:3310
DB00178	DOID:10763
DB00441	DOID:1612
DB01248	DOID:1909
DB00964	DOID:1686
DB00553	DOID:8893
DB01260	DOID:3310
DB00997	DOID:2531
DB00541	DOID:1115
DB00279	DOID:1459
DB00649	DOID:635
DB00630	DOID:5408
DB00290	DOID:2994
DB00958	DOID:1612
DB01273	DOID:0050742
DB01005	DOID:11934
DB00328	DOID:13189
DB08871	DOID:1612
DB00331	DOID:9352
DB00691	DOID:10763
DB00286	DOID:11476
DB00242	DOID:2531
DB00884	DOID:11476
DB00169	DOID:8577
DB00773	DOID:1319
DB04572	DOID:1612
DB00620	DOID:7147
DB00755	DOID:1192
DB00331	DOID:11612
DB00997	DOID:263
DB01077	DOID:5408
DB01274	DOID:2841
DB01008	DOID:2531
DB00385	DOID:11054
DB00741	DOID:2841
DB00620	DOID:3310
DB00773	DOID:2998
DB00869	DOID:1686
DB00195	DOID:1686
DB00441	DOID:1324
DB00091	DOID:8893
DB00445	DOID:3571
DB00819	DOID:1686
DB00970	DOID:2174
DB00905	DOID:1686
DB00880	DOID:10763
DB00695	DOID:12930
DB08860	DOID:3393
DB00515	DOID:1324
DB00900	DOID:635
DB00563	DOID:8893
DB00773	DOID:4045
DB00635	DOID:418
DB00678	DOID:10763
DB00851	DOID:1793
DB00445	DOID:10283
DB00678	DOID:3393
DB00394	DOID:8893
DB00989	DOID:10652
DB00290	DOID:4159
DB00550	DOID:12361
DB00762	DOID:2531
DB00655	DOID:10283
DB00541	DOID:263
DB00736	DOID:9206
DB00970	DOID:1115
DB00341	DOID:4481
DB01197	DOID:10763
DB01042	DOID:2531
DB01261	DOID:9352
DB00195	DOID:10763
DB00959	DOID:7148
DB01014	DOID:8778
DB00262	DOID:3070
DB00396	DOID:363
DB00773	DOID:1324
DB00361	DOID:2531
DB00762	DOID:10534
DB00741	DOID:3310
DB01005	DOID:2531
DB00710	DOID:11476
DB00331	DOID:14221
DB00421	DOID:10763
DB00851	DOID:2531
DB00718	DOID:2043
DB00966	DOID:3393
DB01131	DOID:12365
DB00227	DOID:1936
DB00273	DOID:1826
DB00322	DOID:10534
DB00851	DOID:4045
DB00177	DOID:10763
DB00958	DOID:363
DB00959	DOID:9008
DB00773	DOID:2531
DB00262	DOID:1319
DB00839	DOID:9352
DB04572	DOID:1115
DB00394	DOID:2841
DB01274	DOID:3083
DB00958	DOID:2174
DB01124	DOID:9352
DB00262	DOID:0060073
DB00949	DOID:1826
DB00515	DOID:2998
DB00591	DOID:8893
DB00997	DOID:10534
DB00313	DOID:1826
DB00672	DOID:9352
DB01234	DOID:9074
DB00178	DOID:9352
DB01248	DOID:4159
DB00445	DOID:1781
DB00373	DOID:6364
DB01234	DOID:7147
DB01590	DOID:263
DB00620	DOID:9074
DB00471	DOID:2841
DB00773	DOID:10283
DB01013	DOID:8893
DB01064	DOID:2841
DB01162	DOID:10763
DB00977	DOID:10283
DB00688	DOID:9074
DB00882	DOID:14227
DB01229	DOID:1324
DB00716	DOID:2841
DB00773	DOID:1115
DB01041	DOID:2531
DB00675	DOID:1793
DB01200	DOID:9352
DB00484	DOID:1686
DB01132	DOID:9352
DB08865	DOID:1324
DB00659	DOID:0050741
DB00277	DOID:2841
DB00620	DOID:7148
DB01005	DOID:1319
DB01168	DOID:2531
DB00553	DOID:2531
DB00958	DOID:5041
DB00441	DOID:11054
DB00443	DOID:7147
DB01075	DOID:3310
DB01586	DOID:12236
DB00995	DOID:9008
DB01115	DOID:10763
DB00620	DOID:2531
DB00286	DOID:10283
DB01203	DOID:10763
DB00959	DOID:3310
DB00762	DOID:219
DB01259	DOID:1612
DB01409	DOID:2841
DB01222	DOID:2841
DB05812	DOID:10283
DB00701	DOID:635
DB00709	DOID:2043
DB00570	DOID:11934
DB01656	DOID:3083
DB00985	DOID:3310
DB01409	DOID:3083
DB00177	DOID:9352
DB00563	DOID:4045
DB06777	DOID:12236
DB00622	DOID:10763
DB01136	DOID:10763
DB00997	DOID:1192
DB00997	DOID:1793
DB00244	DOID:8778
DB00970	DOID:1909
DB00563	DOID:2531
DB00764	DOID:2841
DB01029	DOID:9352
DB01003	DOID:2841
DB00398	DOID:263
DB00800	DOID:10763
DB00620	DOID:4481
DB00563	DOID:2998
DB00629	DOID:10763
DB00441	DOID:263
DB00774	DOID:10763
DB00782	DOID:4989
DB00571	DOID:6364
DB00630	DOID:11476
DB01024	DOID:418
DB01248	DOID:1612
DB00987	DOID:2531
DB00938	DOID:2841
DB01204	DOID:2531
DB00999	DOID:10763
DB00620	DOID:8893
DB00958	DOID:2394
DB00480	DOID:2531
DB01204	DOID:10283
DB00443	DOID:9008
DB00627	DOID:3393
DB00563	DOID:9008
DB00359	DOID:12365
DB00700	DOID:3393
DB01248	DOID:1324
DB00305	DOID:10534
DB01006	DOID:1612
DB00958	DOID:2998
DB00997	DOID:1115
DB00947	DOID:1612
DB01181	DOID:2994
DB00563	DOID:418
DB00635	DOID:3083
DB00544	DOID:1793
DB00997	DOID:1781
DB00983	DOID:2841
DB00187	DOID:10763
DB00421	DOID:12930
DB00958	DOID:11054
DB00443	DOID:4481
DB00977	DOID:11476
DB00851	DOID:1192
DB00169	DOID:8893
DB00959	DOID:2841
DB00776	DOID:1826
DB00126	DOID:10283
DB00795	DOID:8778
DB00544	DOID:11054
DB00443	DOID:8893
DB00180	DOID:2841
DB00291	DOID:2394
DB00563	DOID:7147
DB00258	DOID:11476
DB01196	DOID:10283
DB00313	DOID:6364
DB00153	DOID:7148
DB00444	DOID:0060073
DB02300	DOID:8893
DB00970	DOID:363
DB00264	DOID:10763
DB06287	DOID:263
DB01181	DOID:2998
DB00552	DOID:2531
DB01185	DOID:1612
DB00973	DOID:3393
DB00290	DOID:0060073
DB00799	DOID:8893
DB00563	DOID:0060073
DB00722	DOID:12930
DB01001	DOID:2841
DB00515	DOID:1192
DB00014	DOID:10283
DB00539	DOID:1612
DB00773	DOID:2994
DB01268	DOID:1793
DB00436	DOID:10763
DB01156	DOID:9970
DB00909	DOID:1826
