:START_ID(Compound)	:END_ID(Gene)
DB01179	6722
DB04573	55958
DB01222	1831
DB08912	26959
DB00755	4864
DB01273	27244
DB00381	3417
DB01273	9695
DB02546	8202
DB00445	51056
DB00170	2274
DB00882	1846
DB00443	29928
DB00947	23097
DB04865	9913
DB00643	9667
DB00738	6509
DB01059	7982
DB00361	3909
DB00643	1616
DB08916	1491
DB00170	55957
DB00398	16
DB00305	11230
DB08860	256364
DB06803	91300
DB00783	23649
DB00345	23530
DB00316	23530
DB01054	25966
DB00441	1831
DB01034	83737
DB01407	5357
DB08901	23705
DB02300	3486
DB02546	9519
DB00938	63874
DB01095	2309
DB00374	137886
DB01074	23053
DB04786	80223
DB00631	7286
DB00121	3508
DB00456	1052
DB00481	64428
DB01222	1843
DB00227	80212
DB06287	5498
DB00253	25976
DB00541	5054
DB00390	3157
DB00477	1509
DB00404	2770
DB00970	63891
DB00390	91355
DB01074	9712
DB00694	10162
DB00643	6525
DB00390	54386
DB08916	79663
DB04841	102
DB00947	11182
DB01623	47
DB04865	64080
DB00755	3988
DB01600	5359
DB00523	211
DB01396	7543
DB08911	5287
DB01623	55361
DB00602	11230
DB00374	1453
DB00850	1595
DB00541	1662
DB00623	6319
DB00518	3300
DB00434	2309
DB01074	3725
DB01034	55818
DB00188	8634
DB00643	10848
DB00947	8869
DB00675	481
DB00947	51097
DB00822	2113
DB00997	23635
DB04865	55249
DB08911	4638
DB08916	5777
DB08911	7296
DB00091	90411
DB01590	1396
DB00602	6782
DB00928	26036
DB00227	5580
DB00928	55761
DB09020	3598
DB01623	27244
DB01623	51478
DB08958	1021
DB08916	27244
DB02546	375346
DB01229	23094
DB00374	6284
DB08881	26036
DB00968	25976
DB00938	3156
DB00982	11200
DB00188	7165
DB08901	23200
DB00507	1022
DB00541	29115
DB01234	2752
DB00947	2065
DB00576	7485
DB01074	9665
DB00963	57192
DB00822	6509
DB01024	23536
DB01222	687
DB01118	79071
DB08860	11000
DB00882	6713
DB00857	6676
DB01406	9267
DB00317	6304
DB02546	25901
DB00877	5106
