:START_ID(Disease)	:END_ID(Gene)
DOID:986	26059
DOID:9206	10651
DOID:5419	64223
DOID:3083	345930
DOID:5419	137797
DOID:7148	25
DOID:14227	160419
DOID:1793	2977
DOID:8893	2940
DOID:2986	1116
DOID:9008	3000
DOID:7148	2186
DOID:10652	60314
DOID:7147	6872
DOID:13223	4881
DOID:3083	219844
DOID:1793	9148
DOID:0050741	26060
DOID:7148	6749
DOID:14330	1977
DOID:7693	2017
DOID:13223	26034
DOID:14330	998
DOID:635	3632
DOID:0050742	90390
DOID:635	2205
DOID:3312	54707
DOID:418	55893
DOID:11612	80758
DOID:8577	6584
DOID:8577	50808
DOID:1612	4609
DOID:332	252969
DOID:0050156	9639
DOID:13223	962
DOID:332	11044
DOID:9008	6272
DOID:332	5831
DOID:1909	23299
DOID:8893	84629
DOID:0050742	1399
DOID:2986	3746
DOID:9206	55686
DOID:14330	132
DOID:2986	123
DOID:3312	390191
DOID:263	793
DOID:2531	64221
DOID:0050741	8382
DOID:986	84445
DOID:2394	203190
DOID:219	7367
DOID:9970	119695
DOID:11612	401236
DOID:14227	125972
DOID:1793	6124
DOID:263	9068
DOID:7693	216
DOID:332	84684
DOID:12365	274
DOID:0050156	79048
DOID:635	9020
DOID:10652	9085
DOID:0050742	28514
DOID:0050156	440026
DOID:9008	2521
DOID:5419	959
DOID:5419	22850
DOID:986	9632
DOID:1793	100529215
DOID:635	54664
DOID:1793	345895
DOID:2394	7079
DOID:8577	54843
DOID:1793	664
DOID:11612	161394
DOID:8893	377677
DOID:14227	55647
DOID:1793	4925
DOID:418	6392
DOID:2986	7855
DOID:8778	5243
DOID:14330	51701
DOID:11612	56967
DOID:0050742	285812
DOID:2531	6095
DOID:9206	54869
DOID:2531	2949
DOID:8778	26061
DOID:9206	5708
DOID:332	10868
DOID:263	1776
DOID:418	1027
DOID:2531	2200
DOID:0050156	55768
DOID:7148	58517
DOID:8893	1112
DOID:3083	83539
DOID:10652	4185
DOID:10652	27132
DOID:5419	113829
DOID:332	149483
DOID:1612	1756
DOID:12365	10591
DOID:9970	6038
DOID:0050741	29914
DOID:1612	55084
DOID:635	23263
DOID:418	4249
DOID:1612	4311
DOID:9206	4883
DOID:2986	56882
DOID:8893	6156
DOID:8778	375190
DOID:2986	9128
DOID:8577	55074
DOID:1909	8796
DOID:9206	825
DOID:14227	147945
DOID:9008	813
DOID:1793	56100
DOID:0050156	8073
DOID:635	9655
DOID:332	54386
DOID:12365	84321
DOID:1324	4067
DOID:8893	57864
DOID:10652	8317
DOID:7693	83543
DOID:824	389072
DOID:2531	10810
DOID:1324	9486
DOID:14330	84885
DOID:12365	54674
DOID:8778	1349
DOID:8577	79154
DOID:9008	10783
DOID:14330	7247
DOID:418	583
DOID:8778	166647
DOID:1909	3156
DOID:263	55735
DOID:1793	1837
DOID:635	7248
DOID:8778	10206
DOID:7693	53834
DOID:1909	57822
DOID:3083	23175
DOID:10652	1020
DOID:7693	10638
DOID:1324	60494
DOID:1793	10768
DOID:12365	4221
DOID:2531	57178
DOID:3083	90233
DOID:10652	403
DOID:219	5825
DOID:9970	5164
DOID:986	8774
DOID:219	9912
DOID:2531	975
DOID:635	6297
DOID:7148	9987
DOID:0050156	117143
DOID:14227	6687
DOID:7693	8452
DOID:2531	2534
DOID:635	284613
DOID:11612	375035
DOID:12365	85444
DOID:14330	25875
DOID:263	140462
DOID:635	5217
DOID:332	286122
DOID:0050742	115207
DOID:5419	57406
DOID:2986	10949
DOID:418	51669
DOID:332	147699
DOID:263	670
DOID:3083	8128
DOID:1793	80298
DOID:7693	2634
DOID:5419	284194
DOID:219	824
DOID:0050742	983
DOID:7147	51729
DOID:10652	1788
DOID:1909	6698
DOID:1612	6422
DOID:332	7108
DOID:11612	11270
DOID:2531	217
DOID:9206	51200
DOID:2986	25819
DOID:418	6480
DOID:7693	6623
DOID:219	54438
DOID:1793	54808
DOID:263	10655
DOID:5419	7384
DOID:219	11252
DOID:12365	728929
DOID:2986	7779
DOID:1324	5698
DOID:2531	29911
DOID:7148	84271
DOID:8778	63928
DOID:7147	4665
DOID:2377	23022
DOID:8778	6223
DOID:9206	5887
DOID:8893	23678
DOID:0050156	4839
DOID:7693	57798
DOID:9008	718
DOID:8893	50862
DOID:263	32
DOID:418	25873
DOID:1793	283713
DOID:1324	26036
DOID:8893	79811
DOID:8893	7874
DOID:0050742	4616
DOID:7148	2962
DOID:1612	57678
DOID:11612	126433
DOID:986	131578
DOID:263	124936
DOID:5419	925
DOID:263	9377
DOID:11612	1573
DOID:10652	1258
DOID:14330	10923
DOID:8893	5865
DOID:9970	287
DOID:2986	1195
DOID:10283	998
DOID:7148	391322
DOID:219	5145
DOID:8778	5576
DOID:0050741	28986
DOID:8577	79589
DOID:2531	5906
DOID:1793	90411
DOID:14227	4956
DOID:2986	55905
DOID:635	6548
DOID:2531	23508
DOID:4481	6386
DOID:2394	63979
DOID:9008	221477
DOID:824	10092
DOID:0050156	7525
DOID:635	6138
DOID:12365	8926
DOID:5419	84106
DOID:7148	10844
DOID:8577	206358
DOID:2531	23760
DOID:9970	8497
DOID:1909	9538
DOID:9008	8859
DOID:8577	5570
DOID:263	63874
DOID:1909	146760
DOID:8577	7263
DOID:986	9208
DOID:2531	445347
DOID:2986	1232
DOID:9008	7088
DOID:14330	3035
DOID:0050742	647087
DOID:1324	10154
DOID:8577	7105
DOID:7148	10424
DOID:219	7385
DOID:9206	5803
DOID:7693	84132
DOID:219	4128
DOID:5419	375318
DOID:9008	96459
DOID:635	57326
DOID:11612	1666
DOID:13223	51586
DOID:3083	85360
DOID:1909	1602
DOID:3083	7728
DOID:0050156	2823
DOID:8893	56998
DOID:5419	1102
DOID:8778	6304
DOID:1612	847
DOID:219	63924
DOID:12365	338917
DOID:8778	49855
DOID:635	9057
DOID:10763	93624
DOID:12365	4931
DOID:263	549
DOID:986	64682
DOID:5419	8427
DOID:14330	23158
DOID:3083	51274
DOID:1324	29942
DOID:13223	4094
DOID:12365	23568
DOID:332	197407
DOID:0050742	2172
DOID:0050742	54617
DOID:8893	23242
DOID:2531	3212
DOID:1793	727
DOID:2986	8545
DOID:14227	51320
DOID:5419	55756
DOID:0050156	153579
DOID:635	9975
DOID:14227	64446
DOID:0050742	8289
DOID:418	25953
DOID:219	7098
DOID:8893	10313
DOID:1612	4147
DOID:8778	1329
DOID:332	79791
DOID:635	5500
DOID:2531	216
DOID:5419	2811
DOID:1324	23005
DOID:263	1428
DOID:418	2109
DOID:2986	23592
DOID:986	51512
DOID:0050741	90835
DOID:14330	594
DOID:635	3603
DOID:3393	126306
