:START_ID(Disease)	:END_ID(Gene)
DOID:1324	682
DOID:12365	3717
DOID:1324	1830
DOID:9970	5154
DOID:12365	79413
DOID:14227	55552
DOID:2394	127933
DOID:10283	26249
DOID:2986	57728
DOID:7693	6352
DOID:2986	22881
DOID:7693	727830
DOID:0050742	118430
DOID:14330	54973
DOID:14227	200845
DOID:11612	388960
DOID:7693	55959
DOID:9206	7410
DOID:635	3557
DOID:263	51164
DOID:7693	643236
DOID:0050742	11272
DOID:1612	55740
DOID:2986	9540
DOID:10763	63920
DOID:332	203100
DOID:0050156	64078
DOID:1324	339778
DOID:1909	83440
DOID:7148	5791
DOID:986	4969
DOID:9008	1655
DOID:219	1001
DOID:12365	80352
DOID:12365	752
DOID:1793	6281
DOID:12365	10398
DOID:1612	9991
DOID:1324	8407
DOID:7147	4149
DOID:11612	200014
DOID:5419	54863
DOID:14330	9768
DOID:7693	51096
DOID:10652	434
DOID:1793	26
DOID:2531	6223
DOID:1324	64981
DOID:14330	201163
DOID:9206	682
DOID:7148	10643
DOID:0050742	4599
DOID:2531	9049
DOID:635	4793
DOID:13223	4986
DOID:2986	9260
DOID:14330	3304
DOID:0050156	1842
DOID:7148	9061
DOID:263	57696
DOID:332	79741
DOID:7148	3600
DOID:3083	119749
DOID:0050741	1647
DOID:2986	10103
DOID:10652	51490
DOID:13223	8505
DOID:635	3093
DOID:263	1033
DOID:11612	57419
DOID:0050742	79647
DOID:14227	23229
DOID:12365	467
DOID:986	2581
DOID:2531	23586
DOID:11612	2173
DOID:7693	11309
DOID:14330	8906
DOID:635	4288
DOID:7693	10865
DOID:635	11332
DOID:2531	51390
DOID:12365	1890
DOID:8778	211
DOID:0050741	84270
DOID:8893	55803
DOID:2531	51091
DOID:9008	338620
DOID:2986	27300
DOID:263	10973
DOID:986	4774
DOID:2986	80745
DOID:9970	3936
DOID:11612	441478
DOID:9008	10473
DOID:7148	3458
DOID:219	908
DOID:7148	113730
DOID:14227	51318
DOID:418	23682
DOID:1612	23753
DOID:418	85478
DOID:3083	54659
DOID:8778	30817
DOID:1909	7422
DOID:2531	11140
DOID:13223	8484
DOID:9008	492311
DOID:11612	401565
DOID:2986	5050
DOID:7148	7837
DOID:8778	9601
DOID:986	5551
DOID:2394	55357
DOID:12365	23616
DOID:8893	94239
DOID:13223	6555
DOID:7148	5788
DOID:1324	3613
DOID:7147	23603
DOID:986	3458
DOID:0050156	64780
DOID:8577	4837
DOID:5419	84458
DOID:9206	3588
DOID:263	241
DOID:14227	5144
DOID:0050742	84129
DOID:10652	875
DOID:1793	196
DOID:9970	8828
DOID:2394	28976
DOID:14330	23704
DOID:12365	140836
DOID:11612	4162
DOID:11612	55616
DOID:5419	51663
DOID:1909	10467
DOID:14330	5549
DOID:14227	129787
DOID:1793	4582
DOID:418	85459
DOID:10763	283080
DOID:986	53344
DOID:11612	7125
DOID:263	1282
DOID:7693	8507
DOID:0050741	163175
DOID:8778	3654
DOID:418	27109
DOID:0050742	960
DOID:7148	55841
DOID:332	79770
DOID:1793	84206
DOID:5419	8284
DOID:9206	211
DOID:14330	5976
DOID:13223	3891
DOID:1612	79894
DOID:5419	200186
DOID:418	51805
DOID:635	7319
DOID:2531	7905
DOID:332	55629
DOID:1612	26585
DOID:219	6628
DOID:219	29923
DOID:263	9201
DOID:3083	119774
DOID:1324	7164
DOID:14330	6907
DOID:7693	2055
DOID:332	3709
DOID:10652	10491
DOID:8778	4814
DOID:3083	563
DOID:2531	1212
DOID:0050742	9498
DOID:1909	6464
DOID:263	53335
DOID:13223	1071
DOID:1324	4363
DOID:8577	90411
DOID:8577	2669
DOID:1909	813
DOID:635	24138
DOID:986	6648
DOID:10763	283
DOID:1324	285220
DOID:7693	64744
DOID:8577	2760
DOID:8577	84034
DOID:13223	54923
DOID:1909	51507
DOID:986	9057
DOID:418	8933
DOID:263	9459
DOID:1793	3914
DOID:8577	1075
DOID:3083	219972
DOID:0050156	1001
DOID:14227	2131
DOID:0050741	64064
DOID:7148	9276
DOID:7148	23008
DOID:219	6533
DOID:10763	338699
DOID:12365	85464
DOID:1909	5793
DOID:986	7690
DOID:14227	813
DOID:2986	10384
DOID:418	51534
DOID:418	9555
