:START_ID(Gene)	:END_ID(Gene)
801	7428
5987	9412
5747	79738
3725	10514
10014	55844
2099	6206
4087	10589
9223	150084
960	57147
5108	7534
2033	8115
356	7341
996	4690
891	1017
467	8841
6921	162699
48	6445
5588	8517
8350	54623
51751	81488
3459	5781
5789	8500
2975	6191
23582	147687
2494	8202
5094	6187
1869	7277
5433	8065
4627	9775
30812	58494
23013	53615
10921	11171
805	23118
468	1054
3611	3688
1999	8346
9470	220082
983	8367
7128	10318
6176	9349
229	25828
5971	54951
2063	8648
25	9826
1759	10787
3164	9612
5564	8566
4686	6198
1174	93436
351	397
1915	23178
9643	51043
6638	8576
4602	9125
6323	8554
468	81631
3172	8761
914	965
3326	5292
4093	4299
3312	5695
9967	22976
1973	10014
351	121599
5684	63027
2932	55968
3661	114609
1302	3208
9657	11165
4222	54870
4089	51701
838	51535
8508	79735
7704	23528
3725	25977
1647	8366
7884	9101
60	5217
9616	339390
5885	55602
6217	23450
9782	51191
4163	8517
4776	5599
9768	10961
3320	6000
998	9826
7417	8668
3209	4211
1415	4284
7428	10728
5359	11135
1777	8607
26271	64682
2731	7316
6929	80230
3556	8809
5859	10014
28973	55832
1271	23529
1499	9821
6607	51150
5501	221908
4792	9908
4682	7316
1277	7564
1174	6566
5170	5588
857	1755
595	5111
191	10014
54165	192666
5245	7431
999	8508
4794	9043
7322	26046
9101	10971
988	10286
3561	6772
5479	54984
382	9520
5365	260425
6208	8451
4193	8553
7184	10576
5111	10289
5936	8087
23387	54507
10978	51692
5335	7006
6872	6881
8260	79612
351	10134
23421	55183
51643	54918
896	2115
5879	6189
7189	26146
2065	3055
775	5092
348	51295
51619	57484
1030	10094
22907	388697
1017	2664
4172	8452
4646	10755
4005	51562
2962	4609
154	5578
4690	85358
5576	9465
10643	11224
595	5925
7316	25920
6596	23612
7185	9818
8425	57761
7316	8717
7431	54474
1958	246778
215	5824
23521	57418
1956	83442
5308	11091
23008	54165
88	7982
10987	64708
1618	23369
6134	6152
6607	8290
8431	83758
11036	56676
4214	6510
11198	54623
23043	23065
1958	2531
8886	10989
56893	64770
1030	60491
3643	6642
2033	4092
28964	57761
6195	51808
2693	51738
1501	1822
51074	116540
4609	5599
7004	27342
7316	51163
2773	7189
9260	164127
5251	8074
4627	9641
2547	151648
10987	57532
10524	79760
292	3191
55284	55743
5290	8503
26249	65266
11224	23263
2786	24144
10146	84311
6921	9655
51547	79707
3146	3211
7316	23382
9584	10284
2695	388677
7341	7913
5580	7266
5527	5829
4637	81792
7874	81545
672	79728
3676	4736
1362	7316
292	9782
4193	6230
7919	85406
6144	6187
6749	7341
1741	2977
5111	8848
2113	4088
5564	10155
324	57650
5170	11171
5706	5716
5903	6672
966	6535
54550	84140
4296	23542
159163	201181
6047	7227
9252	114928
22976	23435
7316	23028
7273	7360
27018	83878
4287	5371
672	2175
4088	5629
4141	10755
6596	9391
149428	654364
6152	51202
55284	64777
5970	10273
11197	386682
3054	10488
2157	2159
661	11128
10567	22800
7316	11201
2786	2788
7341	10036
273	25977
2115	7316
1163	5987
3791	6464
5326	25898
56257	84284
7316	9787
3930	8354
6222	388697
7536	8148
4904	7417
3183	4791
5583	94274
331	5879
5929	90780
6144	51649
10274	23047
1861	386675
5687	23198
7186	92521
7083	8666
7316	114026
6133	7531
7189	255488
93426	114932
6175	10514
7316	153478
5170	5800
6118	51280
3624	25884
58485	60684
5573	23598
826	4733
1457	2570
6152	9733
6048	7334
1277	3678
5713	10422
3008	11335
1445	2274
509	6137
207	1196
5693	5707
9513	23450
4869	9641
7335	56658
916	5295
22929	55038
292	55379
5250	6159
148022	353376
863	9139
6837	9862
387	6185
25	5077
4790	10788
29888	92170
1650	170506
6596	55743
9265	57658
10111	64858
54550	64170
6598	10419
4172	54165
5498	10989
6130	151648
10140	80315
5566	6003
3190	6687
8350	57459
8774	9482
968	5900
9775	654483
5970	10498
1147	9618
6135	11269
2810	26031
60	27335
6175	10643
7534	10574
4868	7525
3565	3598
23281	57547
4036	5328
7525	139341
5216	7408
6783	9869
2902	7082
551	1410
6462	6717
8801	9768
467	1054
3329	4843
208	2099
208	8570
5931	10002
2035	10606
9656	83933
6613	54796
6606	445329
4232	84289
6423	54361
4223	64098
9733	26523
8237	55832
3065	8030
6837	9443
867	3667
6176	9551
4188	7220
351	6206
23327	64221
55749	64750
1017	3024
1432	10456
373	23270
2534	25920
6128	7341
8359	9015
3399	3400
9666	22954
207	10603
51324	92840
7316	23239
351	5721
7314	7334
3726	8115
904	5371
2033	79155
3383	80270
8065	8364
4005	5932
6138	23020
10963	51182
7534	56257
3117	55183
26580	55850
3351	373156
8335	22907
55145	55668
2242	8660
54535	84970
351	353513
10445	29844
815	1956
6829	10960
1748	9045
3921	57761
9841	386675
142	5111
10483	55832
10987	11184
5966	9470
4869	388698
6634	140890
332	6790
5501	64651
1000	9743
7264	55781
23281	84934
2932	170506
9477	23389
1387	55728
379	4086
3315	9391
51132	57455
1196	91746
3198	8548
5621	79005
8364	27043
8366	55170
4066	8360
1029	2286
1856	10422
4110	51103
10008	83638
1234	3932
6871	8464
4714	8891
51160	285753
3906	7316
7316	23170
51138	53339
1147	10987
4836	6714
291	3396
5562	5717
637	5599
4302	54904
26471	64241
5311	7220
7251	55823
7341	64783
5687	11047
25828	100528062
920	27040
18	1398
3655	3688
6879	10346
9730	10987
3609	4691
2274	6310
292	22907
6732	84545
7764	10919
3572	3976
2867	51700
2885	5364
7412	8724
8997	25865
10978	116461
3663	9612
655	4088
6207	8663
8202	8361
10980	83892
26291	152831
23677	84614
4804	6607
5599	29904
4609	25890
7316	57707
837	23020
79139	84447
2099	2872
1020	1759
5276	26959
3939	10397
4869	8361
4087	6189
4184	388677
5501	9611
6135	51065
3265	4301
9659	9724
8148	171017
1653	4087
6885	25897
6241	7251
3551	11140
2275	9768
5478	84708
9051	26121
6191	8886
326	2534
2890	5566
11117	27018
9768	654364
6128	6208
1017	4800
123722	284058
3093	196403
3360	10362
6429	64750
3399	6938
8115	92815
6625	6631
5250	11103
3035	6228
27316	51547
1147	2734
8881	29882
8453	57492
3083	3818
7316	647042
1140	10980
5694	5717
154	2869
4824	51368
4670	8625
54205	125115
1655	1933
5702	5717
1460	3800
801	4794
2091	6194
6135	51649
4174	6128
6929	9261
3106	57761
5774	11180
79754	83637
7329	26205
5757	8359
2770	60626
672	8294
4738	50649
7681	9618
5757	6418
6812	8851
983	9585
57062	84464
3303	55832
2130	6827
8452	60485
27156	79839
6633	22826
3014	6749
2963	7316
7290	7341
6193	10992
6314	9135
38	4350
3837	5903
4357	7316
3064	55211
1164	81628
4775	5601
8161	57563
3937	5906
3192	10856
1147	7128
9146	81671
7412	8294
10556	10799
84527	386682
5365	6014
3964	7050
7157	10467
8841	8850
291	2885
6794	57599
7316	92259
7341	57680
6885	246330
59	10575
1457	6689
5430	27339
373	50804
862	54550
4225	4852
1965	5580
1822	9223
3852	8454
6187	9129
1759	6453
5105	8517
2034	4172
10539	26002
10280	51248
250	6612
6774	7852
8548	9841
2906	7187
2318	4606
5710	53918
1031	10980
5631	7316
2781	4924
6935	10589
5527	8870
9064	10971
3684	3958
3315	84464
9641	9755
3339	55729
7150	50628
1958	4715
801	4793
55729	79987
2534	27154
6635	84991
1649	8061
5798	9722
7415	26018
892	9282
1871	5925
2696	84708
147945	152138
7189	11224
808	5431
5245	9349
54739	79444
6168	6189
6613	23613
6129	8266
8651	9595
1018	23327
4342	9454
1499	5122
4267	6449
1499	55553
7337	80010
7157	11100
672	3838
2104	10891
8517	8915
7289	386677
326	8354
1499	5796
1173	23223
6607	6635
3276	7013
396	5058
3692	7083
288	355
4221	9070
1289	9672
5635	51643
7273	56704
3416	51377
2885	57594
4223	340359
5921	10209
826	3561
5802	10383
351	9446
3326	65057
4085	90293
1937	55803
4489	9248
7329	26036
2810	4194
5496	7014
7247	10472
8065	8332
2091	6838
4163	5902
9669	22976
801	3782
8370	55832
4869	6158
1892	7316
2332	6168
3551	4296
2627	7080
25	8976
988	23451
6137	10514
2885	84172
1655	1660
7272	8881
3191	7534
4739	4792
375307	386675
3798	64837
7316	8436
11198	79184
3163	23786
3725	6774
50628	79008
9826	23002
7324	26232
8357	8451
8878	30011
4691	7417
2688	27101
51729	54997
8764	125988
10319	90338
351	11222
23475	125115
64398	154796
2026	10073
84445	122786
389	2688
1540	8878
392	7454
805	817
5708	9690
23118	53615
5930	6607
3676	5880
7316	26056
25904	55571
5708	8349
672	7091
3437	51295
7189	7247
9733	23451
6477	7336
8364	55140
8840	56886
801	2908
7189	9188
5885	6208
4773	10971
509	284996
2016	8626
1786	8850
908	8428
5783	8772
1936	8878
2099	3858
7316	114990
8349	10436
2146	11331
6141	6176
7186	8837
5087	6604
1457	6222
10989	23020
3676	58494
1479	8452
6310	11244
6811	63908
7316	654502
22955	100820829
6135	6143
51699	55737
351	5000
6155	8451
351	5055
22976	23512
7322	93664
7444	8844
1936	7428
351	84708
1192	7738
808	10289
2023	7003
7186	84445
57822	79977
7128	7186
4780	5583
7316	9402
1017	26986
9554	54440
6233	9097
8452	83858
6189	64969
1387	3659
351	3050
6132	6159
4642	53918
351	6660
2770	29899
207	4851
4149	5214
11059	80028
3604	122769
4208	6667
7001	55832
7454	147179
3164	386677
8440	9513
6434	9775
1937	8453
2623	6774
150	6640
7316	51631
6654	22824
4710	7316
4015	30008
5687	5714
6801	10494
4738	9631
5050	7704
1660	6144
59	5580
6139	9329
1017	6406
8896	23365
6139	56945
1303	8291
6232	10856
22900	55655
6597	23394
386675	440023
3837	7316
351	54575
2034	4149
5579	10672
8021	23279
658	4092
6613	55143
900	4776
4089	5576
7341	23347
6613	10607
8065	8969
6613	6888
6224	8883
5781	9846
988	8454
405	2963
6427	8233
3660	4790
6152	23345
1053	6923
4999	6117
7327	23113
4140	8655
3688	5010
2885	5156
7184	7534
25885	51082
1654	2597
4640	9031
3178	6749
835	1457
22806	23641
6294	11140
2033	2237
3702	29760
920	203068
409	5604
5594	81620
5049	6175
5252	8358
7321	196403
351	653784
4116	121504
27429	57448
6714	8664
1039	26511
238	943
6881	8290
79876	94081
207	1026
1737	5163
9135	30811
3454	7186
8354	10943
1314	6139
7316	343069
321	5664
60	6130
8934	23641
6224	25777
6124	23263
1387	8362
4194	7681
84140	386675
4239	6441
7083	7297
6228	64960
4331	51533
3198	5621
3312	8065
6048	79139
865	1114
4192	4684
396	54926
6229	7417
5441	10788
483	22976
7301	10318
38	51547
7316	81539
4738	6125
6774	23028
1719	4800
1314	50628
7534	23557
7314	8454
5054	7316
22936	27125
5335	10252
6625	22976
2534	4342
840	11168
7415	11124
3725	6767
6205	8554
801	54014
9768	84991
8364	25842
525	535
2000	25793
23641	79797
1719	7057
55802	167227
11035	80349
3236	5087
83899	386675
5586	8666
868	1399
71	7316
7316	9775
51194	84970
1058	8368
7203	55844
1612	79705
1821	7402
1019	7046
8089	80314
7130	7316
999	5434
1191	2885
1874	5925
6709	11035
6613	26953
55738	120892
2177	7321
1072	3984
875	9513
5521	348235
